"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 10 18:48:26 IST 2023","Sun Dec 10 18:48:35 IST 2023","8498","chromium","search.spec.ts","Search For Products Validations Suite","","","Search for description = כפכפים -> Validate random item description contains the searched key",""
"passed","Sun Dec 10 18:47:41 IST 2023","Sun Dec 10 18:47:50 IST 2023","9343","chromium","quick-view-ui.spec.ts","item details Validations Suite","","","choose a random color -> check if the color name matching the choosen one",""
"passed","Sun Dec 10 18:47:19 IST 2023","Sun Dec 10 18:47:30 IST 2023","11606","chromium","quick-view-ui.spec.ts","item details Validations Suite","","","extract the item actual price from the list of the item ->validate the same price appears when over veiwing the item",""
"passed","Sun Dec 10 18:47:42 IST 2023","Sun Dec 10 18:47:56 IST 2023","14228","chromium","search.spec.ts","Search For Products Validations Suite","","","Search for brand = NIKE -> Validate random item brand contains the same searched brand",""
"broken","Sun Dec 10 18:46:32 IST 2023","Sun Dec 10 18:47:06 IST 2023","33280","chromium","navigation-bar.spec.ts","Navigation Bar Validations Suite","","","Go to Home Page -> Click on :ON SALE -> Validate url is:https://www.terminalx.com/on-sale",""
"passed","Sun Dec 10 18:48:08 IST 2023","Sun Dec 10 18:48:18 IST 2023","9211","chromium","search.spec.ts","Search For Products Validations Suite","","","Search for brand = KENDAL -> Validate random item brand contains the same searched brand",""
"passed","Sun Dec 10 18:47:08 IST 2023","Sun Dec 10 18:47:19 IST 2023","10891","chromium","quick-view-ui.spec.ts","item details Validations Suite","","","extract the item final price from the list of the item ->validate the same price appears when over veiwing the item",""
"skipped","Sun Dec 10 18:49:08 IST 2023","Sun Dec 10 18:49:08 IST 2023","1","chromium","add-item-mylist.spec.ts","Add product to MyList Validations Suite","","","Add item by api to MyList -> Validate The Final Price",""
"passed","Sun Dec 10 18:48:00 IST 2023","Sun Dec 10 18:48:10 IST 2023","9500","chromium","quick-view-ui.spec.ts","item details Validations Suite","","","extract the item brand name ->go to over view -> validate the same brand name appears",""
"broken","Sun Dec 10 18:46:32 IST 2023","Sun Dec 10 18:47:03 IST 2023","31069","chromium","add-item-mylist.spec.ts","Add product to MyList Validations Suite","","","Add item by api to MyList -> Validate Response is truthy",""
"passed","Sun Dec 10 18:48:46 IST 2023","Sun Dec 10 18:48:56 IST 2023","9702","chromium","search.spec.ts","Search For Products Validations Suite","","","Search for description = מכנסי -> Validate random item description contains the searched key",""
"passed","Sun Dec 10 18:47:28 IST 2023","Sun Dec 10 18:47:39 IST 2023","11393","chromium","navigation-bar.spec.ts","Navigation Bar Validations Suite","","","Go to Home Page -> Click on :MY LIST -> Validate url is:https://www.terminalx.com/wishlist/items",""
"passed","Sun Dec 10 18:47:30 IST 2023","Sun Dec 10 18:47:41 IST 2023","10929","chromium","quick-view-ui.spec.ts","item details Validations Suite","","","extract the item sale precentage from the list of the item ->validate the same precent appears when over veiwing the item",""
"passed","Sun Dec 10 18:47:50 IST 2023","Sun Dec 10 18:48:00 IST 2023","9853","chromium","quick-view-ui.spec.ts","item details Validations Suite","","","extract the item img url  ->go to over view -> validate the same url picture appears",""
"passed","Sun Dec 10 18:46:32 IST 2023","Sun Dec 10 18:46:54 IST 2023","21267","chromium","quick-view-ui.spec.ts","item details Validations Suite","","","extract the item name before adding ot ->add random item ->  Validate the item name match",""
"passed","Sun Dec 10 18:47:09 IST 2023","Sun Dec 10 18:47:26 IST 2023","16598","chromium","search.spec.ts","Search For Products Validations Suite","","","Search for brand = ADIDAS -> Validate random item brand contains the same searched brand",""
"passed","Sun Dec 10 18:47:56 IST 2023","Sun Dec 10 18:48:08 IST 2023","12375","chromium","search.spec.ts","Search For Products Validations Suite","","","Search for brand = PUMA -> Validate random item brand contains the same searched brand",""
"passed","Sun Dec 10 18:46:54 IST 2023","Sun Dec 10 18:47:08 IST 2023","14092","chromium","quick-view-ui.spec.ts","item details Validations Suite","","","extract the item label from the list of the item ->validate the same tag appears when over veiwing the item",""
"passed","Sun Dec 10 18:47:10 IST 2023","Sun Dec 10 18:47:28 IST 2023","17541","chromium","navigation-bar.spec.ts","Navigation Bar Validations Suite","","","Go to Home Page -> Click on :JUST LANDED -> Validate url is:https://www.terminalx.com/justlanded",""
"passed","Sun Dec 10 18:48:35 IST 2023","Sun Dec 10 18:48:46 IST 2023","11540","chromium","search.spec.ts","Search For Products Validations Suite","","","Search for description = ג'ינס -> Validate random item description contains the searched key",""
"skipped","Sun Dec 10 18:49:08 IST 2023","Sun Dec 10 18:49:08 IST 2023","1","chromium","add-item-mylist.spec.ts","Add product to MyList Validations Suite","","","Add item by api to MyList -> Validate The Discount Percentage",""
"skipped","Sun Dec 10 18:49:08 IST 2023","Sun Dec 10 18:49:08 IST 2023","1","chromium","add-item-mylist.spec.ts","Add product to MyList Validations Suite","","","Add item by api to MyList -> Validate The Brand Name",""
"passed","Sun Dec 10 18:47:26 IST 2023","Sun Dec 10 18:47:42 IST 2023","15817","chromium","search.spec.ts","Search For Products Validations Suite","","","Search for brand = JORDAN -> Validate random item brand contains the same searched brand",""
"skipped","Sun Dec 10 18:49:08 IST 2023","Sun Dec 10 18:49:08 IST 2023","1","chromium","add-item-mylist.spec.ts","Add product to MyList Validations Suite","","","Add item by api to MyList -> Validate The Regular Price",""
"passed","Sun Dec 10 18:48:18 IST 2023","Sun Dec 10 18:48:26 IST 2023","8685","chromium","search.spec.ts","Search For Products Validations Suite","","","Search for brand = MANGO -> Validate random item brand contains the same searched brand",""
"broken","Sun Dec 10 18:46:32 IST 2023","Sun Dec 10 18:47:26 IST 2023","53529","chromium","add-item-cart.spec.ts","New Product In Cart Validations Suite","","","Add item by api -> Go to Cart page -> Validate Item Details",""
"passed","Sun Dec 10 18:48:56 IST 2023","Sun Dec 10 18:49:08 IST 2023","11514","chromium","search.spec.ts","Search For Products Validations Suite","","","Search for description = בושם -> Validate random item description contains the searched key",""
